,static,sentence
4188,推拉软轴,"收斗慢,收斗慢,调整软轴后试车正常，维修完毕"
4189,O型圈,"变速箱漏油,用户反应变速箱上部漏油,更换密封圈，重新安装堵头。"
4190,O型圈,"漏油,漏液压油,软管O型圈损坏"
4191,加力器,"刹车失灵。,客户反应刹车失灵。,加力器总成磨损，导致刹车失灵。"
4192,雨刮总成,"雨刮器不工作,雨刮器无动作,雨刮器锁紧螺丝固定不紧导致无法带动雨刮壁摆动，经过上紧螺母后故障排除"
4193,喇叭,"灯不亮喇叭不响，脱挡,喇叭不响,更换喇叭"
4194,推拉软轴,"灯不亮喇叭不响，脱挡,脱档,操纵软轴松动脱落"
4195,喇叭,"机子喇叭不响,电喇叭不响,喇叭坏导致不响"
4196,工作泵,"机子升臂慢。,机子升大臂慢，升臂有颤抖。,工作泵内漏导致。"
4197,螺栓,"变速箱下部异响,安装螺栓松动,紧固螺栓松动"
4198,推拉软轴,"操纵系统间隙大,小臂卡,软轴卡导致"
4199,上罩支架,"发动机上罩断裂,发动机罩两侧钢管开裂,开裂变形"
4200,倒车报警器,"倒车蜂鸣器不响,倒车蜂鸣器不响,倒车蜂鸣器损坏"
4201,燃油箱,"客户报修柴油箱漏油,客户反映柴油箱漏油厉害,柴油箱开裂"
4202,燃油箱,"更换柴油箱,客户报修柴油箱漏油。,更换柴油箱。"
4203,空调继电器,"空调不凉,空调不凉,空调继电器损坏"
4204,刹车管,"刹车漏油,刹车漏油,刹车油管子坏了导致漏油"
4205,加力器,"加力器漏油,加力器漏油,加力器密封圈损坏导致漏油"
4206,下铰接螺栓,"铰接异响,车辆工作异响,拆下下铰接销固定板取断螺丝，安装后一切正常"
4207,组合阀,"气压不足造成刹车制动效果差；打气气压不足造成刹车制动效果差,气压不足,组合阀漏气"
4208,按钮阀,"手刹按钮阀失效。,用户反应按钮阀损坏。,更换新按钮阀故障解决。"
4209,按钮阀,"车辆行走不正常,车辆不行走,调整过后试车正常，维修完毕。"
4210,手刹间隙,"装载机不行走,装载机不行走,停车制动器间隙偏差"
4211,手刹间隙,"装载机手刹方下有时不走,装载机工作时手刹放下有时不行走,停车制动器间隙偏差"
4212,螺栓,"柴油箱安装螺栓断裂。,柴油油有抖动,柴油油箱固定螺栓断裂"
4213,气制动阀总成,"用户报修该机气够用、发动机晃动、铲斗开裂,用户报修该机气不够用,漏气"
4214,左门锁,"门锁难打开，难关闭,门锁难开难关,门锁间隙过大"
4215,左门锁,"车门打不开,车门打不开,更换门锁后正常"
4216,左门锁,"门锁打不开,门锁无法正常开关,门锁没调好"
4217,螺栓,"开机时气压上升过慢，停机时气压下降很快,升压慢，停车后压力下降快,储气罐管路螺丝松动"
4218,螺栓,"停车制动阀故障，车辆挂挡后不行走。,松刹车挂挡不行走,停车制动器固定螺丝松动导致间隙过大"
4219,加力器,"刹车不灵,加力器串油,加力器串油"
4220,左门锁,"门锁难开,门锁难打开,螺栓松"
4221,燃油箱,"柴油箱炸裂更换柴油箱,,，驾驶炸裂修复,用户反应柴油箱焊缝开裂,焊缝存在质量问题导致开裂"
4222,燃油箱,"柴油箱开裂。（申请预发件）,燃油箱开裂。,燃油箱焊接处开裂导致漏油。"
4223,推拉软轴,"动臂沉,动臂小斗沉,更换软轴拉线"
4224,加力器,"后刹车损坏,没刹车,加力器高温"
4225,O型圈,"漏油,客户反应漏油,重新更换密封圈后试车正常"
4226,油管接头,"漏油,客户反应漏油,重新调整紧固后试车正常"
4227,前桥螺栓,"前桥螺丝断,前桥螺丝断,前桥螺丝断"
4228,下铰接螺栓,"交接销锁板镙丝断了,下交接端盖镙丝断裂,镙丝材质问题"
4229,螺栓,"发动机固定螺栓脱落,脱落,脱落"
4230,下铰接螺栓,"下铰接销固定螺栓断裂,下铰接销松动,固定螺栓断裂"
4231,动臂缸大小腔软管,"车辆漏油,管子出现了沙眼。,管子出现了沙眼。"
4232,刹车管,"刹车油管漏油,刹车不灵,拆下刹车油管维修后一切正常"
4233,油管接头,"刹车油管漏油,漏油,拆下接头维修后一切正常"
4234,起动机,"车子无法启动,车子无法启动,起动机损坏"
4235,空调压缩机,"检修空调压缩机损坏,空调不制冷，压缩机一直工作，高低压管温度一样,无压缩比"
4236,螺栓,"右前轮边盖漏油。,轮边行星架漏油,螺栓样动"
4237,左门锁,"门锁打不开,门锁打不看,更换门锁拉线"
4238,螺栓,"车辆抖动没劲，有异响，,车辆工作有异响,安装新的螺丝后一切正常"
4239,下铰接螺栓,"交接间隙大,铰接间隙大,下铰接螺丝断裂"
4240,按钮阀,"车辆不走道,车辆不走道,时间长了产生损坏"
4241,GPS,"gps坏了,看不到信息,不知道"
4242,加力器,"用户来电报修：加力器漏气,机子加力器漏气（系统问题，补录DMS系统）,现场检查发现加力器损坏导致漏气"
4243,按钮阀,"更换手刹按钮阀,按钮阀损坏，断裂。,按钮阀损坏，断裂。"
4244,螺栓,"异响,异响经到场排查发现机罩平衡拉杆罩螺栓掉落导致异响，从新安装紧固后试车工作正常,异响"
4245,螺栓,"异响,异响,经到现场检查发现转向油缸转向时销轴，螺丝松动导致异响维修后试车工作正常"
4246,O型圈,"分配阀漏油,用户反应该车分配阀漏油,维修人员更换O形圈后整机恢复正常"
4247,组合阀,"漏气严重,组合阀漏气，,组合阀漏气"
4248,工作泵,"动臂提升无力,服务人员现场试车，发现动臂举升无力。举升速度慢。更换新齿轮泵后试车。故障排除。,工泵内部卸油"
4249,按钮阀,"手刹漏气,该机工作时手刹初有漏气现象,更换新按钮阀后工作运转正常"
4250,螺栓,"机器前传动轴脱落,机器前传动轴脱落,法兰与输出轴压盘连接螺丝断裂导致传动轴脱落"
4251,空调压缩机,"空调不制冷,空调不制冷,压缩机故障"
4252,左门锁,"驾驶室门锁损坏,驾驶室门锁损坏,从新安装左门锁芯固定螺丝后，试车正常。"
4253,螺栓,"漏油,漏油,紧固该车动臂油缸大腔油管螺丝，试车正常。"
4254,换档软轴,"车子倒挡反应慢,经现场试机发现倒挡反应慢,经现场检查确定是由于变速操作系统拉线造成倒挡不完全到位导致挂倒挡反应慢"
4255,螺栓,"后桥异响,行车时后桥异响,螺栓丢失，销轴退出"
4256,油管接头,"漏油,漏油,变速泵管接头松动"
4257,空调压缩机,"压缩机损坏,空调不制冷,压缩机损坏"
4258,推拉软轴,"小斗沉,工作时小斗收斗后不自动回位,小斗阀杆后部回位弹簧生锈导致卡涩"
4259,手刹间隙,"手刹不好用,客户反应手刹不好用,重新调整后试车正常"
4260,下铰接螺栓,"螺丝断裂,螺丝脱落,螺丝脱落"
4261,下铰接螺栓,"螺丝断裂,螺栓脱落,螺丝断裂"
4262,O型圈,"漏油,漏油,更换o型圈。试车正常"
4263,下铰接螺栓,"下交接罗丝断裂；司机反应说下交接螺丝断裂,下交接螺栓断裂,螺栓松动"
4264,工作泵,"大臂提升慢,大臂没劲，泵漏油,工作内泄，漏油，导致升大臂慢"
4265,工作灯,"顶棚灯不亮,前顶棚灯内部短路,前顶棚灯内部短路"
4266,螺栓,"发动机风扇叶损坏,发动机风扇叶损坏,发动机机座螺栓掉落导致风扇叶损坏"
4267,左门锁,"门锁打不开,打不开,试车正常"
4268,按钮阀,"用户来电400报修，反馈挂档有问题、手刹漏气，施工：陕西安康/1400H。,手刹按钮阀损坏,按钮阀损坏"
4269,螺栓,"铲车异响,铲车工作时异响,前车架多路阀护板螺丝松动掉洛"
4270,空调压缩机,"空调不制冷,用户反馈该机空调不制冷,维修更换空调压缩机好，故障排除，整机工作正常"
4271,左门锁,"驾驶室门关不上,驾驶室门关不上,门锁损坏"
4272,气制动阀总成,"刹车抱死,前后刹车高温烧红，夹钳抱死,脚制动阀卡死不回位，更换后正常使用"
4273,刹车管,"前后桥刹车管漏油处理,刹车制动钳刹车管漏油,因刹车管松动  踩刹车往外漏刹车油   紧刹车管   加刹车油  排空气   故障解除"
4274,油管接头,"漏油,漏油,松动导致"
4275,上罩支架,"顶盖支架断裂，更换三包件,顶盖支架断裂,顶盖支架断裂"
4276,按钮阀,"手刹无法松动,行车制动阀卡死,更换后使用正常"
4277,加力器,"前加力器漏油。,无刹车,前加力器喷油"
4278,前桥螺栓,"前桥螺丝断裂,前桥后边4颗锁紧螺栓断裂,锁桥螺丝断裂"
4279,螺栓,"车辆异响,车辆行驶时有异响。,维修人员现场检查，发现转向销固定螺栓松动，转向销上下跳动导致异响，紧固螺栓后试车恢复正常。"
4280,下铰接螺栓,"下交接上窜,下交接上窜,现场检查发现下交接下面和车架连接底端盖四个螺丝断裂造成下交接上窜，现场把断裂螺丝取出后从新安装新螺丝后试车恢复正常使用，检查整车运转正常"
4281,气制动阀总成,"刹车失灵。；发动机三清保养,刹车失灵。,紧急制动阀卡死，造成刹车失灵。"
4282,空调压缩机,"空调没冷风,压缩机吸合空调不制冷,质量问题"
4283,燃油箱,"燃油箱漏油，,燃油箱漏油,正常损坏"
4284,空调压缩机,"空调不制冷,压力不足,长时间未使用"
4285,油管接头,"漏油,漏油,先导测压口松动漏油"
4286,下铰接螺栓,"下交接螺丝掉落,下交接螺丝断裂,交接螺丝断裂"
4287,手刹间隙,"无手刹手刹失灵,手刹松走位,拉过位"
4288,液位计,"液压油箱漏油,液压油箱液位计处漏油漏油,液位计密封不严"
4289,推拉软轴,"挂挡不走,挂挡不走,操纵软轴位置有偏差"
4290,喇叭,"喇叭声音很小,声音很小,损坏"
4291,左门锁,"轮边端盖漏油,客户反馈在驾驶室无法打开门锁,调整门锁行程后试车正常"
4292,工作泵,"工作泵漏油,齿轮泵漏油,泵体漏油"
4293,螺栓,"漏油,漏油,紧固转向器管路螺丝后工作正常"
4294,下铰接螺栓,"铰接销固定螺丝脱落,铰接异响,拆下铰接销固定板取断螺丝安装后一切正常"
4295,空调压缩机,"空调压缩机坏了,不制冷,压缩机损坏"
4296,按钮阀,"手刹按钮阀损坏,无法行走,按钮阀损坏"
4297,前传动轴及支承总成,"前传动轴损坏,用户反映该车前传动轴过桥损坏，导致无法使用,过桥损坏，前桥安装螺栓松动，断裂"
4298,换档软轴,"车无法行走,挂一档车不走,调整拉线后正常"
4299,放水阀,"漏气,漏气,损坏"
4300,加力器,"刹车很差,刹车不好,加力器失效"
4301,气制动阀总成,"刹车效果差,制动效果差，车子工作叉大石时无法完全刹停,脚制动阀漏气无法建立足够的制动力，更换脚制动阀后故障排除"
4302,压缩机皮带,"异响,压缩机皮带松动造成异响,皮带松动产生异响"
4303,螺栓,"漏油,漏油,螺栓，O型圈损坏"
4304,推拉软轴,"前桥轮边漏油，,大臂提升慢和转向软管松动，,经现场对该机软轴拉钱座子螺丝调整和转向油管加固后试机工作正常，"
4305,喇叭,"喇叭不响,现场检查喇叭不响,更换喇叭后试车正常"
4306,喇叭,"喇叭不响,喇叭不响,喇叭损坏，"
4307,加力器,"加力器往外返油,整机工作一会，加力器加油口处往外返油,加力器损坏，导致加力器往外返油"
4308,下铰接螺栓,nan
4309,空调压缩机,"空调不制冷,空调不制冷，,压缩机损坏"
4310,GPS,"GPR没信号,GPS没信号,损坏"
4311,O型圈,"漏油,该机漏油是因转向器接头处0形圈埙坏所致。,转向器接头处外部漏油。"
4312,雨刮总成,"柴油表不显示,该机雨刮片跑偏,该机雨刮臂固定位置存在间隙偏差，调整不当，造成雨刮片经常跑偏"
4313,螺栓,"整机有时无法行走，,手制动器四颗6M螺丝松动，导致松开手刹手柄后，按钮阀顶不到位，导致整机无法行走,手刹手柄螺丝松动"
4314,气制动阀总成,"制动阀漏气,踩刹车，制动阀排气一直漏气,密封不行"
4315,刹车管,"刹车油管漏油,后左轮刹车油管变形导致漏油,重新连接油管后正常"
4316,气管接头,"漏气,制动阀进气管松动导致漏气,紧固接头后正常"
4317,压缩机皮带,"发动机异响,皮带松动有打滑的声音。,皮带松动。"
4318,手刹间隙,"手刹不灵,该机停车时手刹不灵不能有效制动,调整制动间隙后停车制动正常。"
4319,组合阀,"打气气压上升慢,该机工作时制动气压上升慢,更换新组合阀后工作运转正常"
4320,气管接头,"无刹车，漏气,漏气,拧紧后正常"
4321,按钮阀,"无法行走、挂档无反应。,挂档不走,按钮阀损坏"
4322,前传动轴及支承总成,"前桥主传动损坏 前传动轴支撑总成损坏,前传动轴支撑总成损坏,前桥固定螺栓全部断裂导致 前桥与前车架晃动有间隙 导致前传动轴及支撑总成损坏"
4323,前桥螺栓,"前桥主传动损坏 前传动轴支撑总成损坏,主传动小螺旋断裂,因前桥固定螺栓全部断裂 前桥与前车架有间隙晃动 导致前住传动小螺旋断裂 需更换前桥主传动"
4324,O型圈,"漏油,用户反映，工作泵漏油,更换新的O型圈，再试，故障排除"
4325,风扇,"风扇开裂,用户反映，风扇断裂,更换新的风扇总成，再试，故障排除"
4326,气制动阀总成,"车子没刹车,脚制动阀漏气,脚制动阀漏气，导致刹车不好，更换后车子正常"
4327,工作泵,"液力传动油溢出，液压油减少,液压油减少，变速箱油溢出,工作泵损坏"
4328,换档软轴,"装载机不好挂挡；装载机不好挂挡，大臂不回位,装载机不好挂挡，,挂挡拉线错位"
4329,螺栓,"柴油箱螺栓断裂。,柴油箱螺栓断裂。,螺栓断裂。"
4330,雨刮总成,"雨刷不能启动,雨刮无反应,雨刮电机内部损坏导致雨刮电机内部损坏"
4331,气管接头,"漏气,气管漏气,松动"
4332,螺栓,"漏油,该机发动机机罩起升机固定螺栓掉！,该机发动机机罩起升机固定螺栓掉，是因为振动松动后脱落！"
4333,压缩机皮带,"空调皮带断裂,空调皮带断裂,空调皮带断裂"
4334,刹车管,"刹车油管漏油,前左轮刹车钳油管接口处破裂导致漏油,更换油管后正常"
4335,油管接头,"柴油漏油,柴油油水分离器滤芯到柴油泵油管接头松动导致漏柴油,重新连接油管接头后正常"
4336,换档软轴,"倒档脱档,倒档脱档,调整螺丝松动"
4337,加力器,"无刹车,无刹车,失效"
4338,螺栓,"前桥油底壳螺丝松了,前桥漏油,螺丝松动"
4339,气管接头,"漏气,漏气,螺丝松动"
4340,上罩支架,"更换顶盖支架断裂，三包件,顶盖支架断裂,顶盖支架断裂"
4341,手刹间隙,"客户报修车子挂挡后不走,客户报修有时候车子挂挡不走,调整按钮阀与手刹间隙后正常。"
4342,加力器,"刹车不好,加力器漏油,加力器漏油"
4343,液位计,"液压油箱漏油,液位计漏油,液位计漏油"
4344,冷媒,"无空调,无空调,管头泄露"
4345,左门锁,"左门锁故障,左门锁钥匙插不进去，打不开,门锁结构损坏"
4346,空调压缩机,"空调压缩机坏,压缩机离合坏,损坏"
4347,喇叭,"喇叭不响,喇叭不响,喇叭不响"
4348,螺栓,"漏油,漏油,液位计螺丝松动导致漏油"
4349,冷媒,"空调不制冷,用户反应该车空调不制冷,压缩机内空气太多"
4350,下铰接螺栓,"铰接销螺丝断裂,下铰接销松动,螺丝断裂，造成的下铰接销晃动。"
4351,推拉软轴,"铲斗拉线沉重,收铲斗慢,松动"
4352,加力器,"刹车不灵,刹车不灵,加力器损坏"
4353,按钮阀,"挂档没反应,挂档没反应,手刹按钮阀失效"
4354,推拉软轴,"大小臂重发卡,用户反应大小臂重发卡,软轴固定螺母松动"
4355,工作泵,"大臂不起,大臂无力，怠速不起,工作泵内泄"
4356,加力器,"后刹车加力器喷油，,后加力器喷油，跟换加力器,后加力器喷油，跟换加力器"
4357,加力器,"加力器喷油,前加力器喷油，跟换加力器,前加力器喷油，跟换加力器"
4358,雨刮总成,"雨刮器不喷水,雨刮器不喷水,线路断路"
4359,风扇支架,"发动机异响,发动机异响,风扇托架轴承损坏"
4360,倒车报警器,"漏油,倒车报警器损坏,倒车报警器损坏"
4361,O型圈,"车无力,分配阀漏油，,更换O型圈后正常"
4362,O型圈,"漏油,漏油,更换小腔与油缸接口处新O型圈后试车正常。"
4363,螺栓,"驾驶室下面漏油,该机柴油箱固定螺栓脱落,该机柴油箱固定螺栓自然脱落，断裂，松动"
4364,O型圈,"漏油,该机右侧动臂油缸外部进油软管接头处漏液压油！,该机右侧动臂油缸外部进油软管接头处漏液压油是因为管子接头内O型圈损坏密封不严所致！"
4365,O型圈,"机子漏油,该机液压油箱散热器连接管漏油,该机散热器连接管漏油是液压管路接头处0型圈损坏，漏液压油"
4366,刹车管,"刹车不好,刹车不好,管路漏气，导致踩刹车时，车不能静止一段时间"
4367,气管接头,"漏气,漏气,经到现检查发现行车制动管路螺丝松经导致漏气维修后试车工作正常"
4368,前传动轴及支承总成,"前传动轴异响,前传动轴异响,前传动轴及支撑总成损坏"
4369,GPS,"智能管家数据无法更新,整机锁机后无法解锁数据，无法更新,GPS损坏，导致无法更新数据"
4370,螺栓,"管子漏油,打转向时，胶管漏油,打转向时，有压力开时漏油，紧固后，打转向正常"
4371,工作灯,"工作灯不亮,客户报修工作灯不亮,重新安装左侧工作灯插头后试车正常"
4372,气管接头,"漏气,漏气,紧固螺母后试车正常"
4373,螺栓,"后机罩有异响,客户报修后机罩有异响,紧固上罩固定螺栓后试车正常"
4374,空调压缩机,"空调制冷效果不好,空调制冷效果不好,空调压缩机质量问题"
4375,推拉软轴,"动臂重,动臂重,软轴卡导致"
4376,冷媒,"无空调,无空调,软管泄露"
4377,O型圈,"漏气,漏油,换上新的O型圈工作正常"
4378,螺栓,"前桥漏油,放油螺栓松动脱落 齿轮油泄露,放油螺栓脱落"
4379,气管接头,"漏气,车辆漏气,重新紧固软管接头螺丝后试车正常"
4380,下铰接螺栓,"下铰接销松动,铰接下销螺丝断裂,螺丝断裂导致销子往上走"
4381,空调压缩机,"空调不工作,空调不工作,压缩机损坏失效"
4382,刹车管,"刹车不好漏气,刹车不好,气管路松动，漏气。"
4383,手刹间隙,"手刹不灵,手刹不灵,手制动器间隙大"
4384,空调压缩机,"压缩机损坏,空调不制冷,压缩机损坏"
4385,压缩机皮带,"机子异响,机子异响,涨紧间隙过大"
4386,气管接头,"漏气,漏气,刹车总榜漏气"
4387,螺栓,"油箱螺丝断裂,柴油油箱固定螺丝断裂,柴油油箱固定螺栓断裂"
4388,O型圈,"漏油,客户报修漏油,更换O型圈后试车正常"
4389,螺栓,"漏油,漏油,紧固螺丝后试车正常"
4390,O型圈,"客户报修车辆漏油,客户报修车辆漏油,密封圈损坏"
4391,雨刮总成,"雨刮器刮板损坏,雨刮器刮板铆钉脱落，导致刮不干净,刮雨器刮板铆钉脱落"
4392,气管接头,"用户反映该机漏气,到现场检查发现储气罐漏气，进气管路接头漏气,进气管路接头松动导致漏气，紧固后机械工作正常"
4393,刹车管,"无刹车,没刹车,刹车管漏油"
4394,螺栓,"门锁不好用,客户反应门锁不好用,重新调整紧固后试车正常"
4395,油管接头,"漏油,客户反应漏油,重新紧固后试车正常"
4396,空调压缩机,"空调压缩机异响,压缩机异响，,磨损"
4397,压缩机皮带,"压缩机异响,皮带松动,螺丝固定松动导致"
4398,倒车报警器,"倒车报警器不响,倒车报警器不响,检查为倒车报警器失效导致，更换倒车报警器后，故障排除"
4399,前桥螺栓,"前桥螺丝松动,桥螺丝松动,前桥螺丝松动"
4400,空调压缩机,"空调不制冷,空调不致冷,压缩机损坏"
4401,左门锁,"左门锁打不开。,门锁有时候关不住,试车正常"
4402,风扇,"风扇叶断裂,风扇叶断裂,更换"
4403,螺栓,"漏气,加力器进气管漏气。,加力器进气管螺丝拧紧后工作正常。"
4404,螺栓,"后罩异响,后机罩异响,后机罩门架固定螺丝脱落"
4405,上罩支架,"1，上机罩支架断裂，2，液压油箱安装螺栓断裂。,发动机上罩支架断裂,支架受力不均匀，导致断裂"
4406,螺栓,"收斗不好用,客户反应收斗不好用,重新紧固后试车正常"
4407,动臂缸大小腔软管,"动臂油缸软管漏油,管子漏油,动臂油缸软管压口位置渗油严重"
4408,风扇支架,"风扇托架损坏,风扇支架损坏,轴承损坏"
4409,螺栓,"漏油,转向油缸有杆腔钢管处漏油。,钢管固定螺栓松动，0型圈损坏。"
4410,风扇支架,"风扇托架松晃,风扇托架损坏,损坏"
4411,螺栓,"漏油,客户报修漏油,更换O 型圈后试车正常"
4412,气管接头,"刹车不灵,刹车不灵,紧固行车制动阀管路接头后试车正常"
4413,O型圈,"刹车油管漏油,前左轮刹车油管胶圈破裂导致漏刹车油,更换密封圈后正常"
4414,冷媒,"空调不制冷,空调内氟利昂过低导致空调时好时坏,重新充氟后正常"
4415,螺栓,"变速箱漏油,变速箱与变距器联接下部漏油,变速箱与变距器联接下部螺丝松动"
4416,O型圈,"液压油管漏油。,液压油管漏油。,密封圈损坏。"
4417,压缩机皮带,"客户反应异响,客户反应开空调发动机有异响,压缩机皮带张紧度不够，因起异响。"
4418,推拉软轴,"操纵杆没有动作,操纵杆失效,软轴固定销脱落，安装新的固定销"
4419,起动机,"漏油，灯不亮,发动机，变速箱处漏油,启动马达漏油，需要玉柴服务站开处理。已联系当地玉柴服务站。"
4420,左门锁,"车门关不了,关不了门,圆定镜护的按装座脱焊，失效"
4421,风扇,"风扇损坏,司机反应风扇叶损坏,质量问题导致风扇损坏，更换后恢复正常"
4422,动臂缸大小腔软管,"用户反应动臂油缸软管漏油,左动臂油缸软管漏油,软管有沙眼，导致漏油"
4423,螺栓,"发动机漏油,发动机漏油,喷油嘴除固定螺丝松动导致"
4424,推拉软轴,"操纵杆重,转斗油缸操纵杆重,操纵软轴干涩。"
4425,O型圈,"漏液压油,测压堵头漏油,转斗油缸测压堵头密封圈烂，导致漏油，转斗油缸测压堵头密封圈烂，导致漏油更换密封圈后，正常工作"
4426,手刹间隙,"电子输油泵失灵，更换电子输油泵,手刹拉到位都无刹车,调整手刹拉线"
4427,冷媒,"空调不凉,空调不凉,损坏"
4428,加力器,"没得刹车,该机刹车不好、没有刹车、是因后加力器严反油、加力器内部泄漏所致。,后加力器严重反油、内部泄。"
4429,继电器,"手柄不吸合,手柄不吸合,继电器接触不良"
4430,下铰接螺栓,"下铰结销固定螺丝脱落,下铰接销固定螺栓脱落和松动,螺检脱落和松动"
4431,O型圈,"刹车不好,加力器进气管漏气,更换垫圈后工作正常"
4432,气制动阀总成,"脚制动阀漏气,踩住刹车有漏气现象,损坏失效"
4433,组合阀,"刹车抱死,刹车卡顿，怠速踩刹车后车子停顿一下再走,间隙偏差"
4434,螺栓,"刹车不灵,后车架异响,龙门架固定螺丝脱落车子行走震动龙门架异响"
4435,螺栓,"管夹螺丝断,管夹螺丝脱落,管夹螺丝脱落"
4436,螺栓,"机脚螺丝掉了,发动机固定螺栓脱落,螺栓松动"
4437,空调压缩机,"空调不制冷。,压缩机烧毁，空调不制冷。,压缩机离合器线圈烧毁"
4438,下铰接螺栓,"交接坏,用户反应下铰接销串动,螺栓断裂导致下铰接销串动，更换螺栓后试车正常"
4439,放水阀,"漏气,用户反映，空气罐漏气,更新的放水阀，再试，故障排除"
4440,手刹间隙,"手刹不好,手刹不好,手刹间隙大"
4441,加力器,"刹车不好用,刹车不管用,加力器故障"
4442,放水阀,"门锁坏,放不了水,放水阀卡死"
4443,O型圈,"启动不了，一打着火就熄火,启动不了,胶圈烂"
4444,按钮阀,"用户反映手刹漏气,用户反映手刹漏气,手刹下的按钮阀漏气导致故障产生"
4445,空调压缩机,"空调不制冷,空调不制冷,压缩机损坏"
4446,加力器,"漏油,漏油,加力器漏油"
4447,燃油箱,"柴油箱漏油,燃油箱漏油,没焊牢固"
4448,油门踏板,"油门踏板不回位,油门踏板回位弹簧断裂,弹簧质量不行"
4449,工作灯,"工作灯不亮,不亮,烧坏"
4450,液位计,"液压油邮箱液位计漏油,液压油油箱，液位计漏油,更换液压油油箱液位计"
4451,风扇,"风扇叶断裂,高温,风扇叶损坏失效"
4452,下铰接螺栓,"下铰接销螺栓断损坏。,下铰接销下固定螺栓断裂。,铰接销螺栓断裂。"
4453,空调压缩机,"空调不制冷。,空调不制冷,压缩机内部损坏。"
4454,O型圈,"漏油,客户报修漏油,更换O 型圈后试车正常"
4455,气管接头,"漏气,漏气,更换管接头垫圈后工作正常"
4456,工作灯,"大灯不亮,大灯不亮,工作灯不亮。"
4457,O型圈,"漏油,漏油,更换新O型圈后试车正常。"
4458,空调压缩机,"空调不制冷,空调不制冷,压缩机损坏，失效"
4459,换档软轴,"跳挡。,二档跳档。,软轴间隔大。,"
4460,手刹间隙,"无手制动,手制动不灵,间隙调整"
4461,起动机,"起动机不工作,起动机不工作,起动机磁力开关损坏"
4462,继电器,"空调不制冷,空调没凉风,继电器松动，接触不良。"
4463,GPS,"GPS计时不准确。；仪表不显示燃油油位。,GPS工作小时定位不准,更换GPS后试机正常"
4464,加力器,"刹车不好,刹车不好,加力器失效"
4465,下铰接螺栓,"下绞节螺丝断裂掉落,下铰接螺栓断裂掉落,起出断裂螺栓，更换螺栓"
4466,喇叭,"喇叭不响,喇叭不响,喇叭有电到不响，喇叭损坏，更换新喇叭故障排除"
4467,气管接头,"刹车漏气,管路漏气,行车制动阀到前加力器管路松动，导致漏气"
4468,加力器,"加力泵喷油,加力器漏油,加力器发热，回油时，喷油"
4469,空调压缩机,"空调不凉,压缩机不工作造成无空调,压缩机失效"
4470,风扇,"支架坏，风扇掉,风扇叶片打断,风扇罩盖螺栓脱落导致移位把风扇叶片打坏"
4471,风扇支架,"用户反映车子风扇托架异响。,客户来电反映发动机异响,风扇支架磨损"
4472,油管接头,"漏油,客户反应漏油,经检查流量放大发至转向油缸的管接头松动"
4473,下铰接螺栓,"下铰接销螺丝断折,下铰接螺栓松动，断折,螺丝松动导致断折"
4474,刹车管,"漏刹车油，刹车不灵,前桥刹车油管破裂，漏油,油管破裂，漏油"
4475,风扇,"风扇叶断折,风扇损坏,质量问题造成风扇叶断折"
4476,起动机,"不能起动,不能起动,起动机短路"
4477,换档软轴,"档位不好挂,经现场检查，档位位置有偏差,间隙偏差"
4478,液位计,"液位计漏油,液压油液位计漏油,漏油"
4479,下铰接螺栓,"铰接销轴松动上窜，传动轴磨损,铰接销轴松动上窜，传动如轴磨损,磨损"
4480,左门锁,"门锁坏,门锁打不开,门锁扣断裂"
4481,螺栓,"转向不好用,转向不好用,紧固该车方向机固定螺丝，试车正常。"
4482,下铰接螺栓,"铰接销螺丝断裂,下铰接销螺丝断裂，下销向上脱出,下铰接销螺丝断裂"
4483,左门锁,"车门锁损坏,门锁损坏,卡死损坏"
4484,O型圈,"铲车漏液压油,优先阀到转向器油管接头漏油,O型圈损坏"
4485,手刹间隙,"切断阀漏气,车子有时没档位,手刹拉线松动"
4486,螺栓,"用户反映，变速箱油管漏油，导致无法正常工作。,用户反映，变速箱油管漏油，无法正常工作,加油管接口螺丝松动，重新紧固，填补变速箱油后，故障排除。"
4487,O型圈,"漏油,漏油,更换转向油缸管路0型圈后工作正常"
4488,下铰接螺栓,"下链接销往上串,下铰接销上串,下铰接销螺栓断裂"
4489,螺栓,"后罩盖启动马达渗油,后罩盖的举升机漏油以及反应慢,举升机螺丝松动导致漏油 反应慢是因为缺油导致 加油后观察情况再决定更换"
4490,螺栓,"后罩盖启动马达渗油,液压油液位计处漏油,液位计处的螺栓松动导致漏油  使用扳手拧紧后回复正常"
4491,压缩机皮带,"大臂异响，空调制冷效果不好,空调皮带异响,压缩机皮带涨紧度不够，"
4492,下铰接螺栓,"铰接销螺丝丢失,链接螺丝断裂,断裂"
4493,加力器,"后轮刹车抱死。,用户反应该机工作时，后轮平凡出现暴死现象,经拆卸更换后加力器重新装配后排除空气加注制动液后试机，该机刹车恢复正常，故障排除"
4494,螺栓,"转斗油缸漏油,转斗油缸漏油,螺丝松动导致漏油"
4495,下铰接螺栓,"铰接销间隙大,铰接销间隙大,把铰接销断丝取出，装上螺栓打紧，故障解决"
4496,手刹间隙,"手刹拉太高了,手刹拉的太高 ,手刹盘间隙大调整间隙试手刹问题已解决"
4497,风扇,"皮带断裂  挂不了档,风扇叶片断裂,风扇支架轴承损坏导致"
